銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"テイ・エステック","7313","東証","○","-","○","3,100","03/26","有","0.00","2,838","-9","-0.73 %","-","355","70,700","-1.45 %","貸借","0.05"
"３３ＦＧ","7322","東証","-","-","○","20,600","09/25","有","0.00","1,485","-12","-0.80 %","-","56","11,900","-4.44 %","貸借","0.00"
"第四北越フィナンシャルＧ","7327","東証","-","-","○","44,000","09/25","有","0.00","2,741","-27","-0.79 %","-","200","31,700","-2.55 %","貸借","0.00"
"ノジマ","7419","東証","○","-","○","4,500","09/25","有","0.00","1,716","-21","-0.57 %","-","326","76,900","-3.32 %","貸借","0.00"
"伯東","7433","東証","-","-","○","14,800","-","無","0.00","1,201","-4","-0.98 %","-","120","22,400","-1.63 %","貸借","0.00"
"ナガイレーベン","7447","東証","-","-","○","7,000","-","無","0.00","2,377","-30","-1.24 %","-","85","16,500","-5.10 %","貸借","0.05"
"三菱食品","7451","東証","-","-","○","25,900","-","無","0.00","2,785","25","0.90 %","-","170","25,800","-2.24 %","貸借","0.05"
"良品計画","7453","東証","○","-","○","3,600","-","無","0.00","18,840","-100","-0.26 %","-","650","126,800","-2.07 %","貸借","0.00"
"松田産業","7456","東証","-","-","○","18,100","09/25","有","0.00","1,506","27","2.44 %","-","97","16,500","-0.46 %","貸借","0.00"
"第一興商","7458","東証","○","-","○","2,000","09/25","有","0.00","5,020","50","1.61 %","-","448","117,100","-0.98 %","貸借","0.00"
"メディパルＨＤ","7459","東証","-","-","○","284,100","-","無","0.00","2,354","33","1.46 %","-","1,373","713,700","-0.71 %","貸借","0.05"
"アドヴァン","7463","東証","-","-","○","30,700","03/26","有","0.00","1,056","-11","-0.75 %","-","141","30,200","-3.38 %","貸借","0.05"
"萩原電気ＨＬＤＧＳ","7467","東証","-","-","○","2,600","-","無","0.00","2,772","27","0.87 %","-","57","9,900","-1.00 %","貸借","0.00"
"アズワン","7476","東証","-","-","○","17,600","09/25","有","0.00","9,440","-150","-1.56 %","-","398","76,800","-2.07 %","貸借","0.20"
"ドウシシャ","7483","東証","-","-","○","23,200","03/26","有","0.00","1,740","-11","-0.51 %","-","95","16,200","-3.38 %","貸借","0.05"
"高速","7504","東証","-","-","○","14,800","-","無","0.00","1,156","8","1.67 %","-","28","4,200","-0.85 %","貸借","0.00"
"Ｇ－７ホールディングス","7508","東証","-","-","○","6,800","-","無","0.00","2,997","42","2.04 %","-","180","25,900","-0.92 %","貸借","0.00"
"コーナン商事","7516","東証","○","-","○","5,700","02/25","有","0.00","2,224","-14","-0.22 %","-","329","76,200","-1.63 %","貸借","0.00"
"ネットワンシステムズ","7518","東証","○","-","○","7,700","-","無","0.00","3,155","-5","-0.47 %","-","721","285,900","-2.62 %","貸借","0.00"
"パンパシフィックＨＤ","7532","東証","-","-","○","126,500","-","無","0.00","6,790","-40","-1.45 %","-","739","280,800","-2.72 %","貸借","0.00"
"丸文","7537","東証","-","-","○","19,900","-","無","0.00","557","-2","-0.71 %","-","131","44,500","-2.62 %","貸借","0.00"
"スリーエフ","7544","東証","-","-","○","0","08/27","有","0.00","382","1","1.05 %","-","17","5,400","-1.03 %","貸借","0.00"
"西松屋チェーン","7545","東証","-","-","○","4,500","08/15","有","0.00","825","3","0.12 %","-","510","171,900","-2.25 %","貸借","0.00"
"ゼンショーホールディングス","7550","東証","○","-","○","11,400","09/25","有","0.00","2,142","26","0.89 %","-","970","266,300","-0.87 %","貸借","0.00"
"日本ライフライン","7575","東証","○","-","○","0","-","無","0.00","1,706","-3","-0.46 %","-","1,533","434,800","-3.23 %","貸借","0.00"
"ＶＴホールディングス","7593","東証","○","-","○","12,600","03/26","有","0.00","420","-4","0.00 %","-","484","268,500","-3.66 %","貸借","0.00"
"アルゴグラフィックス","7595","東証","-","-","○","20,600","-","無","0.00","2,330","17","0.43 %","-","275","43,000","-1.14 %","信用","0.00"
"ユナイテッドアローズ","7606","東証","-","-","○","25,900","03/26","有","0.00","3,265","-105","-2.39 %","-","638","221,200","-6.04 %","貸借","0.00"
"進和","7607","東証","-","-","○","1,700","08/27","有","0.00","2,184","-5","-0.27 %","-","23","5,500","-2.15 %","信用","0.00"
"ハイデイ日高","7611","東証","○","-","○","2,800","08/27","有","0.00","1,968","3","0.51 %","-","341","67,700","-0.90 %","貸借","0.00"
"オーハシテクニカ","7628","東証","○","-","○","700","09/25","有","0.00","1,428","-4","-0.83 %","-","45","7,800","-1.65 %","貸借","0.00"
"壱番屋","7630","東証","○","-","○","2,800","08/27","有","0.00","4,700","245","-3.09 %","-","1,121","225,100","-3.49 %","貸借","0.10"
"スギホールディングス","7649","東証","○","-","○","1,100","02/25","有","0.00","5,090","-10","-0.77 %","-","779","273,300","-2.11 %","貸借","0.00"
"島津製作所","7701","東証","○","-","○","4,800","-","無","0.00","2,772","-33","-1.70 %","-","2,202","692,700","-4.47 %","貸借","0.00"
"ＪＭＳ","7702","東証","-","-","○","21,800","-","無","0.00","690","-2","0.43 %","-","40","8,300","-0.71 %","貸借","0.00"
"ブイ・テクノロジー","7717","東証","○","-","○","0","-","無","0.00","4,565","-20","-1.29 %","-","1,379","365,500","-6.74 %","貸借","0.00"
"スター精密","7718","東証","-","-","○","1,200","-","無","0.00","1,372","-9","-0.57 %","-","750","260,500","-1.78 %","貸借","0.00"
"愛知時計","7723","東証","-","-","○","2,500","-","無","0.00","4,160","-5","-0.12 %","-","3","600","-0.47 %","貸借","0.00"
"東京精密","7729","東証","-","-","○","42,100","-","無","0.00","2,633","-55","-0.75 %","-","798","148,000","-2.84 %","貸借","0.00"
"マニー","7730","東証","○","-","○","1,500","08/27","有","0.00","7,000","50","1.01 %","-","503","121,000","-0.70 %","貸借","0.15"
"ニコン","7731","東証","-","-","○","428,100","-","無","0.00","1,546","-14","-0.77 %","-","1,951","1,218,700","-1.08 %","貸借","0.00"
"トプコン","7732","東証","○","-","○","5,500","09/25","有","0.00","1,323","-26","-1.92 %","-","961","344,800","-2.43 %","貸借","0.00"
"オリンパス","7733","東証","○","-","○","6,700","-","無","0.00","1,209","4","1.42 %","-","3,211","3,817,300","-0.98 %","貸借","0.05"
"理研計器","7734","東証","-","-","○","21,800","-","無","0.00","1,979","-11","-0.55 %","-","48","10,600","-2.51 %","貸借","0.00"
"ＳＣＲＥＥＮホールディングス","7735","東証","○","-","○","3,100","-","無","0.00","4,115","-35","-2.14 %","-","1,532","635,300","-3.29 %","貸借","0.00"
"キヤノン電子","7739","東証","-","-","○","700","-","無","0.00","1,855","-19","-0.80 %","-","301","122,300","-1.17 %","貸借","0.00"
"タムロン","7740","東証","-","-","○","20,000","-","無","0.00","2,244","15","0.71 %","-","542","91,300","-1.23 %","貸借","0.00"
"ＨＯＹＡ","7741","東証","○","-","○","2,700","-","無","0.00","8,045","-4","0.51 %","-","2,906","755,900","-0.81 %","貸借","0.15"
"エー・アンド・デイ","7745","東証","○","-","○","18,000","-","無","0.00","766","-15","-0.90 %","-","335","104,900","-3.64 %","貸借","0.00"
"朝日インテック","7747","東証","-","-","○","0","-","無","0.00","5,140","-90","-0.96 %","-","743","368,100","-1.90 %","貸借","0.00"
"キヤノン","7751","東証","○","-","○","104,700","-","無","0.00","3,229.0","-7.0","-0.33 %","-","3,905","5,297,800","-0.82 %","貸借","0.10"
"リコー","7752","東証","○","-","○","2,800","09/25","有","0.00","1,090","5","-0.27 %","-","1,971","2,025,100","-1.44 %","貸借","0.00"
"シチズン時計","7762","東証","-","-","○","60,600","-","無","0.00","536","-7","-0.55 %","-","1,221","1,487,900","-2.36 %","貸借","0.00"
"リズム時計","7769","東証","-","-","○","8,300","-","無","0.00","1,331","34","2.62 %","-","58","9,400","-1.40 %","貸借","0.00"
"メニコン","7780","東証","○","-","○","800","03/26","有","0.00","3,700","50","1.50 %","-","458","86,500","-1.33 %","貸借","0.10"
"パラマウントベッドＨＤ","7817","東証","-","-","○","27,600","03/26","有","0.00","4,165","-20","-0.11 %","-","267","53,300","-2.80 %","貸借","0.00"
"永大産業","7822","東証","-","-","○","8,900","-","無","0.00","333","3","0.90 %","-","137","63,900","-1.18 %","貸借","0.00"
"アートネイチャー","7823","東証","-","-","○","26,100","-","無","0.00","633","-2","-0.31 %","-","81","17,300","-2.16 %","貸借","0.00"
"バンダイナムコＨＬＤＧＳ","7832","東証","○","-","○","6,100","03/26","有","0.00","5,220","0","-1.32 %","-","1,366","692,600","-2.79 %","貸借","0.00"
"共立印刷","7838","東証","-","-","○","30,400","-","無","0.00","178","-3","-1.65 %","-","106","57,600","-3.78 %","貸借","0.00"
"フランスベッドＨＬＤＧＳ","7840","東証","○","-","○","12,900","03/26","有","0.00","968","-10","-1.02 %","-","96","20,500","-1.52 %","貸借","0.05"
"パイロットコーポレーション","7846","東証","○","-","○","1,800","12/25","有","0.00","4,095","80","1.73 %","-","432","93,600","-2.96 %","貸借","0.00"
"エイベックス","7860","東証","○","-","○","8,100","09/25","有","0.00","1,393","-15","-0.57 %","-","405","90,600","-3.12 %","貸借","0.00"
"トッパン・フォームズ","7862","東証","-","-","○","56,600","-","無","0.00","860","-15","-1.60 %","-","330","100,700","-4.86 %","貸借","0.00"
"フジシールインターナショナル","7864","東証","-","-","○","49,400","03/26","有","0.00","3,265","15","0.46 %","-","614","149,900","-3.54 %","貸借","0.00"
"タカラトミー","7867","東証","○","-","○","28,500","09/25","有","0.00","1,310","-6","-0.15 %","-","925","330,400","-2.89 %","貸借","0.00"
"プロネクサス","7893","東証","-","-","○","19,500","03/26","有","0.00","1,125","-8","-2.34 %","-","46","8,300","-2.93 %","信用","0.00"
"ウッドワン","7898","東証","-","-","○","6,200","-","無","0.00","968","-3","-0.41 %","-","26","9,100","-2.41 %","貸借","0.00"
"大建工業","7905","東証","-","-","○","18,800","-","無","0.00","2,190","-48","-2.23 %","-","115","21,800","-2.27 %","貸借","0.05"
"凸版印刷","7911","東証","○","-","○","8,600","03/26","有","0.00","1,658","-28","-0.95 %","-","1,741","919,800","-3.21 %","貸借","0.05"
"大日本印刷","7912","東証","○","-","○","6,500","-","無","0.00","2,339","-29","-0.42 %","-","1,691","764,600","-3.34 %","貸借","0.05"
"共同印刷","7914","東証","-","-","○","6,000","-","無","0.00","2,754","-58","-1.81 %","-","62","9,000","-3.43 %","貸借","0.05"
"藤森工業","7917","東証","-","-","○","22,300","03/26","有","0.00","2,893","49","0.31 %","-","104","17,300","-0.68 %","貸借","0.00"
"前澤化成工業","7925","東証","-","-","○","16,900","09/25","有","0.00","1,061","-5","-0.46 %","-","44","6,900","-2.74 %","貸借","0.05"
"ジェイエスピー","7942","東証","-","-","○","13,100","03/26","有","0.00","2,065","-11","-2.41 %","-","241","40,900","-2.41 %","貸借","0.00"
"ニチハ","7943","東証","-","-","○","33,000","-","無","0.00","2,999","-31","-0.53 %","-","391","66,800","-2.15 %","貸借","0.05"
"エフピコ","7947","東証","-","-","○","14,500","-","無","0.00","6,770","90","0.74 %","-","234","51,600","-0.29 %","貸借","0.15"
"小松ウオール工業","7949","東証","-","-","○","7,500","-","無","0.00","1,792","0","-0.61 %","-","26","4,000","-1.80 %","貸借","0.00"
"ヤマハ","7951","東証","○","-","○","1,900","03/26","有","0.00","5,130","30","0.39 %","-","737","488,900","-1.34 %","貸借","0.00"
"河合楽器","7952","東証","○","-","○","400","09/25","有","0.00","3,105","15","0.00 %","-","187","30,100","-1.74 %","貸借","0.10"
"クリナップ","7955","東証","-","-","○","24,700","-","無","0.00","548","-5","-1.26 %","-","100","23,800","-3.85 %","貸借","0.00"
"ピジヨン","7956","東証","○","-","○","5,900","-","無","0.00","4,325","-30","0.00 %","-","933","421,400","-4.52 %","貸借","0.10"
"天馬","7958","東証","-","-","○","16,700","03/26","有","0.00","1,851","-43","-2.21 %","-","113","17,900","-4.48 %","貸借","0.05"
"リンテック","7966","東証","-","-","○","61,300","-","無","0.00","2,217","-23","-0.98 %","-","527","119,100","-1.51 %","貸借","0.00"
"信越ポリマー","7970","東証","-","-","○","34,800","-","無","0.00","769","-1","0.52 %","-","313","70,100","-1.91 %","貸借","0.00"
"東リ","7971","東証","-","-","○","50,200","-","無","0.00","239","-2","-1.23 %","-","129","43,100","-2.84 %","貸借","0.00"
"イトーキ","7972","東証","-","-","○","11,900","-","無","0.00","447","2","0.00 %","-","186","63,000","-2.82 %","貸借","0.00"
"任天堂","7974","東証","○","-","○","18,800","-","無","0.00","38,150","0","0.05 %","-","5,213","1,117,500","-1.26 %","貸借","0.00"
"三菱鉛筆","7976","東証","-","-","○","29,000","-","無","0.00","1,793","14","2.34 %","-","390","62,600","-0.71 %","貸借","0.00"
"タカラスタンダ－ド","7981","東証","-","-","○","50,200","-","無","0.00","1,679","-8","-0.53 %","-","159","42,300","-0.82 %","貸借","0.00"
"コクヨ","7984","東証","-","-","○","36,500","12/25","有","0.00","1,498","9","1.14 %","-","623","200,400","-0.13 %","貸借","0.00"
"ニフコ","7988","東証","-","-","○","9,300","09/25","有","0.00","2,687","2","1.09 %","-","1,436","368,100","-2.99 %","貸借","0.05"
"オカムラ","7994","東証","-","-","○","95,400","-","無","0.00","1,040","-21","-0.85 %","-","540","137,000","-2.71 %","貸借","0.00"
"バルカー","7995","東証","○","-","○","2,000","-","無","0.00","2,223","20","0.31 %","-","322","61,200","-1.46 %","貸借","0.00"
"伊藤忠","8001","東証","○","-","○","78,300","-","無","0.00","2,074.5","-0.5","-0.24 %","-","4,183","3,230,300","-0.55 %","貸借","0.05"
"丸紅","8002","東証","○","-","○","111,600","-","無","0.00","725.6","-3.6","-0.60 %","-","7,242","5,304,300","-1.58 %","貸借","0.00"
"高島","8007","東証","-","-","○","1,100","-","無","0.00","1,674","-12","-2.04 %","-","25","6,100","-2.33 %","貸借","0.00"
"ヨンドシーホールディングス","8008","東証","○","-","○","1,400","02/25","有","0.00","2,486","16","0.64 %","-","205","41,200","-0.75 %","貸借","0.05"
"長瀬産業","8012","東証","-","-","○","132,100","03/26","有","0.00","1,603","-18","-1.23 %","-","548","199,400","-1.65 %","貸借","0.00"
"蝶理","8014","東証","-","-","○","14,900","-","無","0.00","1,717","17","0.17 %","-","69","12,100","-0.34 %","貸借","0.00"
"豊田通商","8015","東証","○","-","○","1,900","-","無","0.00","3,305","15","1.07 %","-","926","467,500","-1.04 %","貸借","0.00"
"オンワ－ドホールディングス","8016","東証","○","-","○","8,400","02/25","有","0.00","592","-5","-0.50 %","-","547","303,800","-3.10 %","貸借","0.00"
"三共生興","8018","東証","-","-","○","38,700","-","無","0.00","526","-2","0.00 %","-","43","15,200","-2.59 %","貸借","0.00"
"兼松","8020","東証","-","-","○","33,100","-","無","0.00","1,211","-7","-0.57 %","-","1,025","321,600","-2.73 %","貸借","0.00"
"美津濃","8022","東証","-","-","○","14,600","09/25","有","0.00","2,439","-45","-1.69 %","-","125","20,700","-2.28 %","貸借","0.00"
"ユニー・ファミリーマートＨＤ","8028","東証","○","-","○","3,100","-","無","0.00","2,635","20","0.61 %","-","2,918","1,384,400","-2.94 %","貸借","0.05"
"三井物産","8031","東証","○","-","○","90,400","-","無","0.00","1,755.5","-29.0","-1.59 %","-","4,611","4,304,300","-2.74 %","貸借","0.00"
"日本紙パルプ","8032","東証","-","-","○","11,900","03/26","有","0.00","3,605","-35","-0.96 %","-","53","8,900","-1.77 %","貸借","0.00"
"東京エレクトロン","8035","東証","○","-","○","18,300","-","無","0.00","14,320","-490","-2.25 %","-","5,709","1,581,300","-5.00 %","貸借","0.00"
"日立ハイテクノロジーズ","8036","東証","○","-","○","600","-","無","0.00","5,510","-40","-0.18 %","-","718","273,700","-1.60 %","貸借","0.00"
"カメイ","8037","東証","-","-","○","32,500","-","無","0.00","1,116","0","0.54 %","-","83","14,400","-3.20 %","貸借","0.00"
"スターゼン","8043","東証","○","-","○","1,100","09/25","有","0.00","4,200","5","-0.35 %","-","109","20,200","-0.59 %","貸借","0.00"
"セイコーＨＤ","8050","東証","○","-","○","1,700","-","無","0.00","2,174","-16","0.83 %","-","597","108,200","-1.36 %","貸借","0.00"
"山善","8051","東証","-","-","○","105,200","-","無","0.00","1,050","-5","-0.47 %","-","441","311,400","-1.86 %","貸借","0.00"
"椿本興業","8052","東証","-","-","○","1,400","-","無","0.00","3,225","-65","-1.97 %","-","37","5,600","-2.71 %","貸借","0.00"
"住友商事","8053","東証","○","-","○","89,900","-","無","0.00","1,611.5","-1.5","-0.09 %","-","4,061","3,862,700","-1.07 %","貸借","0.00"
"日本ユニシス","8056","東証","-","-","○","79,000","-","無","0.00","3,725","-10","-0.13 %","-","506","170,700","-1.97 %","貸借","0.10"
"内田洋行","8057","東証","-","-","○","4,900","-","無","0.00","3,470","-30","-0.57 %","-","48","8,100","-3.34 %","貸借","0.10"
"三菱商事","8058","東証","○","-","○","137,000","-","無","0.00","2,860.0","-24.5","-0.76 %","-","6,007","3,622,400","-1.86 %","貸借","0.00"
"第一実業","8059","東証","-","-","○","10,800","-","無","0.00","3,035","-55","-0.97 %","-","88","14,100","-4.10 %","貸借","0.00"
"キヤノンマーケティングＪＰＮ","8060","東証","-","-","○","25,700","-","無","0.00","2,353","14","0.46 %","-","867","179,500","-0.50 %","貸借","0.00"
"西華産業","8061","東証","-","-","○","3,400","-","無","0.00","1,320","-16","-1.04 %","-","57","8,900","-4.83 %","貸借","0.00"
"東京産業","8070","東証","-","-","○","14,300","-","無","0.00","484","-3","-0.41 %","-","71","18,500","-1.62 %","貸借","0.00"
"ユアサ商事","8074","東証","-","-","○","27,700","-","無","0.00","2,985","-20","-1.32 %","-","191","35,000","-2.29 %","貸借","0.00"
"神鋼商事","8075","東証","-","-","○","2,400","-","無","0.00","2,301","-23","-2.41 %","-","80","19,200","-2.41 %","貸借","0.00"
"阪和興業","8078","東証","○","-","○","3,400","-","無","0.00","2,839","-14","-0.10 %","-","1,011","192,100","-2.80 %","貸借","0.00"
"カナデン","8081","東証","○","-","○","600","03/26","有","0.30","1,337","-18","-0.96 %","-","54","11,000","-2.76 %","信用","0.00"
"菱電商事","8084","東証","-","-","○","18,800","-","無","0.00","1,645","1","-0.60 %","-","69","15,500","-1.02 %","貸借","0.00"
"ニプロ","8086","東証","○","-","○","38,500","09/25","有","0.00","1,172","-10","-1.59 %","-","973","508,000","-2.81 %","貸借","0.00"
"フルサト工業","8087","東証","○","-","○","1,100","03/26","有","0.00","1,419","3","-1.86 %","-","43","9,700","-1.86 %","貸借","0.00"
"岩谷産業","8088","東証","-","-","○","4,600","-","無","0.00","3,720","-10","-0.53 %","-","316","90,600","-1.84 %","貸借","0.05"
"兼松エレクトロニクス","8096","東証","○","-","○","2,000","-","無","0.00","2,984","5","-0.30 %","-","41","7,700","-1.68 %","貸借","0.00"
"三愛石油","8097","東証","-","-","○","68,200","-","無","0.00","1,021","-20","-2.57 %","-","189","49,100","-4.31 %","貸借","0.05"
"稲畑産業","8098","東証","-","-","○","59,200","09/25","有","0.00","1,361","-38","-2.29 %","-","359","72,000","-4.42 %","貸借","0.00"
"ユニ・チヤ－ム","8113","東証","○","-","○","8,700","-","無","0.00","3,235.0","7.0","0.52 %","-","2,608","975,200","-4.40 %","貸借","0.00"
"ワキタ","8125","東証","-","-","○","8,200","-","無","0.00","1,036","-5","-0.19 %","-","229","50,400","-3.08 %","貸借","0.05"
"東邦ホールディングス","8129","東証","-","-","○","6,000","03/26","有","0.00","2,446","-18","0.16 %","-","1,023","211,700","-2.12 %","貸借","0.00"
"サンゲツ","8130","東証","-","-","○","73,400","-","無","0.00","2,065","-8","-0.91 %","-","276","83,900","-2.41 %","貸借","0.05"
